
fecha	cp	minsplit	minbucket	maxdepth	prob_corte	xval_folds	ganancia	iteracion
20230512 021934	-0.152240263589577	191.766171051677	92.2296235001171	11	0.0599698974338301	5	51717000	77
20230512 021945	-0.509232304509203	9.04315705775287	1.98734727767068	4	0.0503591409427855	5	49950000	78
20230512 021958	-0.999848866722955	8030.47852587452	3977.92208158353	7	0.0577020700309179	5	49524000	79
20230512 022007	-0.954160468918368	7925.80910348094	3020.89573704736	3	0.0654239704823254	5	49524000	80
20230512 022024	-0.151802490268108	3668.34572868744	1826.03248674433	12	0.099746270308663	5	42132000	81
20230512 022050	-0.18893941008744	84.7906023674049	38.8375447099144	20	0.0720765015736288	5	42453000	82
20230512 022101	-0.0539166638057866	1635.80457293228	805.137643957572	4	0.0631831258990452	5	48330000	83
20230512 022120	-0.13220963018853	5629.88210318795	132.555140284618	10	0.0838033853746655	5	42831000	84
20230512 022139	-0.145095519098403	2386.68282304398	1181.18388753273	19	0.0469002880197865	5	51351000	85
20230512 022149	-0.171497426714547	1959.23134470948	963.722576232661	3	0.0385009985593464	5	50283000	86
20230512 022202	-0.398861296164837	3987.05652657841	372.491844323141	6	0.0684314625895969	5	45978000	87
20230512 022216	-0.639040071115296	6368.74033069823	9.53602701433796	8	0.0585217305203776	5	49680000	88
20230512 022226	-0.824286986560599	3128.29226790129	26.4320903594394	3	0.0436310783831858	5	50241000	89
20230512 022245	-0.811893396789918	912.561694704811	455.748230781798	12	0.0581361081154842	5	50922000	90
20230512 022300	-0.735417193429772	5439.44406697575	150.497565513348	6	0.0468426011973653	5	49206000	91
20230512 022318	-0.558760137636166	3530.90519725708	902.855128289044	11	0.0562902506200047	5	49350000	92
20230512 022337	-0.0433197153508904	2207.45884609458	1065.31417310936	18	0.0460014879765608	5	51138000	93
20230512 022350	-0.236326309046115	3999.19649082592	505.054329030291	6	0.045294950275885	5	50571000	94
20230512 022406	-0.474570060830398	4403.13426507387	2196.97606782776	14	0.0505409661904159	5	49110000	95
20230512 022420	-0.9142620454346	8176.59789473374	654.517924185461	8	0.0791030652617321	5	39534000	96
20230512 022436	-0.633990361458079	4608.71880934328	2155.12113917464	11	0.0781531333906667	5	46902000	97
20230512 022447	-0.604216503337471	2044.88783393068	4.56793899100557	4	0.0417063112415181	5	49395000	98
20230512 022512	-0.47410908557852	446.94127999546	45.2829649359836	20	0.0659990621223143	5	51918000	99
20230512 022522	-0.98375949660679	6863.15219636013	2135.39144016557	3	0.0428781125932273	5	49524000	100
20230512 022543	-0.311390970905681	208.33978126724	90.478977763043	13	0.0491874957328547	5	51171000	101
20230512 022604	-0.509859403847985	6357.45851517814	2.50558827629367	17	0.0567191679929856	5	50055000	102
20230512 022615	-0.226955672164928	5405.61417114109	2698.82722848782	4	0.0497899466648825	5	48762000	103
20230512 022624	-0.606284146829355	8346.80397786254	1815.00068110166	3	0.0585657036804014	5	49524000	104
20230512 022640	-0.153339420345728	7.52297856681361	2.75365543507821	8	0.0972489151014989	5	46104000	105
20230512 022705	-0.756025784912323	116.932316857498	53.9615604002983	20	0.0474847985103897	5	46620000	106
20230512 022723	-0.362372682959237	1244.29990612704	613.283737048886	11	0.0542960249286772	5	49812000	107
20230512 022743	-0.460374385941601	53.2916200950372	14.2026927889166	12	0.0874325828623119	5	43191000	108
20230512 022812	-0.417773281559413	190.45491082328	6.91759144476269	20	0.0599184899723371	5	44784000	109
20230512 022832	-0.476754521137665	503.206048145487	49.0859504545103	11	0.0491165729202769	5	54423000	110
20230512 022849	-0.683750061035823	614.985760571974	104.849425089377	8	0.097686690592425	5	49356000	111
20230512 022901	-0.332794176184974	8110.87606968782	4043.01359502564	5	0.04008042505915	5	49608000	112
20230512 022916	-0.212654062439675	2785.48539564982	1389.55839760682	8	0.0132879461861494	5	28476000	113
20230512 022936	-0.303074279736083	855.070021694789	327.59662869773	14	0.0964382462353923	5	47703000	114
20230512 022946	-0.620147785162615	12829.562007321	4816.64826563649	3	0.0999769489595518	5	39789000	115
20230512 023000	-0.99978531490898	10094.415226625	4136.42192207283	19	0.0970411618519286	5	37203000	116
20230512 023016	-0.0431691889392559	4489.44349191382	2215.13420828349	9	0.0512556001254728	5	48801000	117
20230512 023030	-0.455927273695948	594.410103770087	46.5644352999641	7	0.0372817619957427	5	52563000	118
20230512 023044	-0.781255188246459	47.6467835394025	5.94393890634032	7	0.0444674666266539	5	51747000	119
20230512 023100	-0.809058081895821	609.860019726828	299.920172587626	8	0.0402104698046179	5	55194000	120
